id,crew_name_directing,title,release_year,return,budget,revenue
862,john lasseter,toy story,1995,12.452,30000000,373554033
8844,joe johnston,jumanji,1995,4.043,65000000,262797249
15602,howard deutch,grumpier old men,1995,0.000,0,0
31357,forest whitaker,waiting to exhale,1995,5.091,16000000,81452156
11862,charles shyer,father of the bride part ii,1995,76578911.000,0,76578911
949,michael mann,heat,1995,3.124,60000000,187436818
11860,sydney pollack,sabrina,1995,0.000,58000000,0
45325,peter hewitt,tom and huck,1995,0.000,0,0
9091,peter hyams,sudden death,1995,1.839,35000000,64350171
710,martin campbell,goldeneye,1995,6.072,58000000,352194034
9087,rob reiner,the american president,1995,1.740,62000000,107879496
12110,mel brooks,dracula: dead and loving it,1995,0.000,0,0
21032,simon wells,balto,1995,11348324.000,0,11348324
10858,oliver stone,nixon,1995,0.311,44000000,13681765
1408,renny harlin,cutthroat island,1995,0.102,98000000,10017322
524,martin scorsese,casino,1995,2.233,52000000,116112375
4584,ang lee,sense and sensibility,1995,8.182,16500000,135000000
5,allison anders,four rooms,1995,1.075,4000000,4300000
9273,steve oedekerk,ace ventura: when nature calls,1995,7.080,30000000,212385533
11517,joseph ruben,money train,1995,0.591,60000000,35431113
8012,barry sonnenfeld,get shorty,1995,3.805,30250000,115101622
1710,jon amiel,copycat,1995,0.000,0,0
9691,richard donner,assassins,1995,0.606,50000000,30303072
12665,victor salva,powder,1995,0.000,0,0
451,mike figgis,leaving las vegas,1995,13.833,3600000,49800000
16420,oliver parker,othello,1995,0.000,0,0
9263,lesli linka glatter,now and then,1995,2.283,12000000,27400000
17015,roger michell,persuasion,1995,0.000,0,0
902,jean-pierre jeunet,the city of lost children,1995,0.097,18000000,1738611
37557,zhang yimou,shanghai triad,1995,0.000,0,0
9909,john n. smith,dangerous minds,1995,180000000.000,0,180000000
63,terry gilliam,twelve monkeys,1995,5.723,29500000,168840000
78802,jean-jacques annaud,wings of courage,1996,0.000,0,0
9598,chris noonan,babe,1995,8.471,30000000,254134910
47018,christopher hampton,carrington,1995,0.000,0,0
687,tim robbins,dead man walking,1995,3.579,11000000,39363635
139405,stephen low,across the sea of time,1995,0.000,0,0
33689,andy tennant,it takes two,1995,0.000,0,0
9603,amy heckerling,clueless,1995,0.000,12000000,0
34615,darrell james roodt,"cry, the beloved country",1995,676525.000,0,676525
31174,richard loncraine,richard iii,1995,0.000,0,0
11443,albert hughes,dead presidents,1995,0.000,10000000,0
35196,michael hoffman,restoration,1995,0.000,19000000,0
9312,paul w.s. anderson,mortal kombat,1995,6.789,18000000,122195920
577,gus van sant,to die for,1995,1.064,20000000,21284514
11861,jocelyn moorhouse,how to make an american quilt,1995,2.357,10000000,23574130
807,david fincher,se7en,1995,9.919,33000000,327311859
10530,mike gabriel,pocahontas,1995,6.292,55000000,346079773
8391,patricia rozema,when night is falling,1995,0.000,0,0
629,bryan singer,the usual suspects,1995,3.890,6000000,23341568
117164,richard w. munchkin,guardian angel,1994,0.000,0,0
11448,woody allen,mighty aphrodite,1995,0.447,15000000,6700000
49133,gianni amelio,lamerica,1994,0.000,0,0
26441,holly goldberg sloan,the big green,1995,0.000,0,0
97406,ulu grosbard,georgia,1995,0.000,0,0
124057,robert tinnell,kids of the round table,1997,0.000,0,0
9089,jodie foster,home for the holidays,1995,17519169.000,0,17519169
11010,michael radford,the postman,1994,0.000,0,0
99040,robert lepage,the confessional,1995,0.000,0,0
11359,frank oz,the indian in the cupboard,1995,0.000,45000000,0
17182,john schlesinger,eye for an eye,1996,0.000,20000000,0
2054,stephen herek,mr. holland's opus,1995,106269971.000,0,106269971
10607,paris barclay,don't be a menace to south central while drinking your juice in the hood,1996,0.000,0,0
19760,bill bennett,two if by sea,1996,0.000,0,0
9536,jason bloom,bio-dome,1996,0.000,15000000,0
11525,farhad mann,lawnmower man 2: beyond cyberspace,1996,2409225.000,0,2409225
40628,james foley,two bits,1995,0.000,0,0
4482,josiane balasko,french twist,1995,0.000,0,0
10634,f. gary gray,friday,1995,8.062,3500000,28215918
755,robert rodriguez,from dusk till dawn,1996,1.360,19000000,25836616
11859,andrew sipes,fair game,1995,0.231,50000000,11534477
28387,noah baumbach,kicking and screaming,1995,718490.000,0,718490
48750,claude lelouch,les miserables,1995,0.000,0,0
20927,michael goldenberg,bed of roses,1996,19030691.000,0,19030691
36929,steve miner,big bully,1996,0.136,15000000,2042530
9102,christian duguay,screamers,1995,0.289,20000000,5781885
124626,susanne ofteringer,nico icon,1995,0.000,0,0
27526,sean penn,the crossing guard,1995,0.000,0,0
9623,brian gibson,the juror,1996,0.000,44000000,0
46785,jafar panahi,the white balloon,1995,0.000,0,0
400,gary fleder,things to do in denver when you're dead,1995,0.066,8000000,529766
880,marleen gorris,antonia's line,1995,0.000,900000,0
146599,tim reid,once upon a time... when we were colored,1996,0.000,0,0
188588,henry jaglom,last summer in the hamptons,1995,0.000,0,0
8447,philip haas,angels and insects,1995,0.000,0,0
10534,ridley scott,white squall,1996,0.271,38000000,10300000
17414,ken kwapis,dunston checks in,1996,0.000,16000000,0
13997,penelope spheeris,black sheep,1996,32.000,0,32
2086,john badham,nick of time,1995,1.001,8169363,8175346
61548,john duigan,the journey of august king,1995,0.000,0,0
9095,stephen frears,mary reilly,1996,0.263,47000000,12379402
12158,wes craven,vampire in brooklyn,1995,1.414,14000000,19800000
9283,ted demme,beautiful girls,1996,0.000,0,0
9208,john woo,broken arrow,1996,3.005,50000000,150270147
40154,kenneth branagh,a midwinter's tale,1995,0.000,0,0
406,mathieu kassovitz,la haine,1995,0.000,3000000,0
45549,paul w.s. anderson,shopping,1994,0.000,0,0
63076,nick broomfield,heidi fleiss: hollywood madam,1995,0.000,0,0
11062,harold becker,city hall,1996,0.000,0,0
13685,wes anderson,bottle rocket,1996,0.080,7000000,560069
47475,nick castle,mr. wrong,1996,0.000,0,0
2045,john dahl,unforgettable,1996,0.000,18000000,0
9614,dennis dugan,happy gilmore,1996,3.434,12000000,41205099
688,clint eastwood,the bridges of madison county,1995,7.584,24000000,182016617
11907,doris dörrie,nobody loves me,1994,0.000,0,0
10874,brian henson,muppet treasure island,1996,34327391.000,0,34327391
89333,robert leacock,catwalk,1995,0.000,0,0
96357,james bruce,headless body in topless bar,1995,0.000,0,0
197,mel gibson,braveheart,1995,2.917,72000000,210000000
103,martin scorsese,taxi driver,1976,21.740,1300000,28262574
33542,stanley tong,rumble in the bronx,1995,4.319,7500000,32392047
43566,barbet schroeder,before and after,1996,0.000,35000000,0
71754,mort ransen,margaret's museum,1995,0.000,0,0
43612,étienne chatiliez,happiness is in the field,1995,0.000,13365000,0
51352,jon blair,anne frank remembered,1995,1.000,0,1
16934,benjamin ross,the young poisoner's handbook,1995,0.000,0,0
10324,eric schaeffer,if lucy fell,1996,0.000,0,0
78406,andrew davis,steal big steal little,1995,0.251,25000000,6278139
55731,charles t. kanganis,race the sun,1996,0.000,0,0
32119,john n. smith,the boys of st. vincent,1992,0.000,0,0
11066,reginald hudlin,boomerang,1992,1.752,40000000,70100000
11104,wong kar-wai,chungking express,1994,0.000,0,0
37975,giuseppe tornatore,the star maker,1995,0.000,0,0
2074,david o. russell,flirting with disaster,1996,2.100,7000000,14702438
27793,peter macdonald,the neverending story iii: escape from fantasia,1994,0.000,17000000,0
44284,moufida tlatli,the silences of the palace,1994,0.000,0,0
290157,michel negroponte,jupiter's wife,1995,0.000,0,0
110972,bryan gordon,pie in the sky,1996,0.000,0,0
32622,rebecca miller,angela,1995,0.000,0,0
73067,michael lindsay-hogg,frankie starlight,1995,0.000,0,0
11863,william friedkin,jade,1995,0.197,50000000,9851610
55475,ángel muñiz,nueba yol,1995,0.000,0,0
124636,craig baldwin,sonic outlaws,1995,0.000,0,0
9101,david s. ward,down periscope,1996,0.000,0,0
123360,mark rappaport,from the journals of jean seberg,1995,0.000,0,0
5757,dirk shafer,man of the year,1995,209935.000,0,209935
39428,terence davies,the neon bible,1995,0.000,0,0
124639,sandip ray,target,1995,0.000,0,0
9302,jon avnet,up close & personal,1996,0.000,60000000,0
11000,mike nichols,the birdcage,1996,5.976,31000000,185260553
249882,jakov sedlar,virgin mary,1995,0.000,0,0
16388,edward burns,the brothers mcmullen,1995,0.000,0,0
9737,michael bay,bad boys,1995,7.442,19000000,141407024
30765,christopher cain,the amazing panda adventure,1995,0.000,0,0
10474,scott kalvert,the basketball diaries,1995,0.000,0,0
22279,mike newell,an awfully big adventure,1995,0.213,4000000,851545
30157,hal hartley,amateur,1994,0.000,0,0
568,ron howard,apollo 13,1995,6.831,52000000,355237933
11780,michael caton-jones,rob roy,1995,1.128,28000000,31596911
34996,abel ferrara,the addiction,1995,0.000,0,0
414,joel schumacher,batman forever,1995,3.365,100000000,336529144
649,luis buñuel,belle de jour,1967,0.000,0,0
1873,john boorman,beyond rangoon,1995,0.000,0,0
5894,paul auster,blue in the face,1995,0.638,2000000,1275000
1775,michael moore,canadian bacon,1995,0.016,11000000,178104
8839,brad silberling,casper,1995,5.759,50000000,287928194
20649,spike lee,clockers,1995,0.523,25000000,13071518
10329,frank marshall,congo,1995,3.040,50000000,152022101
8963,tony scott,crimson tide,1995,2.970,53000000,157387195
26564,terry zwigoff,crumb,1994,3174695.000,0,3174695
